<h>
More	JJR	more
than	IN	than
half	NN	half
of	IN	of
Gaza	NP	Gaza
'	POS	'
s	NN	S
36	CD	@card@
hospitals	NNS	hospital
are	VBP	be
non-functioning	VBG	non-function
by	IN	by
shortages	NNS	shortage
,	,	,
combat	NN	combat
or	CC	or
damage	NN	damage
,	,	,
the	DT	the
UN	NP	UN
said	VBD	say
.	SENT	.
<p>
The	DT	the
Israel	NP	Israel
military	NN	military
is	VBZ	be
expanding	VBG	expand
its	PP$	its
operation	NN	operation
in	IN	in
the	DT	the
Gaza	NP	Gaza
neighbourhoods	NNS	neighbourhood
after	IN	after
it	PP	it
took	VBD	take
control	NN	control
over	IN	over
the	DT	the
Al	NP	Al
Shifa	NP	Shifa
hospital	NN	hospital
last	JJ	last
week	NN	week
.	SENT	.
<p>
Israel	NP	Israel
has	VBZ	have
vowed	VBN	vow
to	TO	to
destroy	VB	destroy
Hamas	NNS	<unknown>
in	IN	in
response	NN	response
to	TO	to
the	DT	the
October	NP	October
7	CD	@card@
attacks	NNS	attack
and	CC	and
the	DT	the
resultant	JJ	resultant
violence	NN	violence
has	VBZ	have
killed	VBN	kill
over	IN	over
13,000	CD	@card@
Palestinians	NNS	Palestinian
so	RB	so
far	RB	far
,	,	,
including	VBG	include
5,000	CD	@card@
children	NNS	child
.	SENT	.
<p>
Last	JJ	last
week	NN	week
,	,	,
Gaza	NP	Gaza
'	POS	'
s	JJ	<unknown>
Al-Shifa	NP	Al-Shifa
hospital	NN	hospital
had	VBD	have
been	VBN	be
the	DT	the
focus	NN	focus
of	IN	of
an	DT	an
Israeli	JJ	Israeli
special	JJ	special
forces	NNS	force
operation	NN	operation
for	IN	for
days	NNS	day
,	,	,
where	WRB	where
the	DT	the
military	NN	military
searched	VBD	search
for	IN	for
Hamas	JJ	<unknown>
command	NN	command
centre	NN	centre
which	WDT	which
it	PP	it
insists	VBZ	insist
is	VBZ	be
concealed	VBN	conceal
within	IN	within
the	DT	the
facility	NN	facility
.	SENT	.
<h>
Why	WRB	why
Israel	NP	Israel
Attacked	VBD	attack
Al-Shifa	NP	Al-Shifa
Hospital	NP	Hospital
?	SENT	?
<p>
Israeli	JJ	Israeli
troops	NNS	troop
raided	VBD	raid
Al-Shifa	NP	Al-Shifa
Hospital	NP	Hospital
last	JJ	last
Wednesday	NP	Wednesday
on	IN	on
suspicion	NN	suspicion
that	IN	that
it	PP	it
was	VBD	be
being	VBG	be
used	VBN	use
as	IN	as
a	DT	a
Hamas	JJ	<unknown>
base	NN	base
.	SENT	.
The	DT	the
Israeli	JJ	Israeli
military	NN	military
on	IN	on
Sunday	NP	Sunday
claimed	VBD	claim
to	TO	to
have	VB	have
discovered	VBN	discover
a	DT	a
tunnel	NN	tunnel
under	IN	under
Gaza	NP	Gaza
'	POS	'
s	JJ	<unknown>
Al-Shifa	NP	Al-Shifa
hospital	NN	hospital
that	WDT	that
stretched	VBD	stretch
55-metres	NNS	55-metre
beneath	IN	beneath
the	DT	the
war-torn	JJ	war-torn
complex	NN	complex
.	SENT	.
<p>
"	''	"
IDF	NP	IDF
troops	NNS	troop
exposed	VBD	expose
a	DT	a
55-meter-long	JJ	<unknown>
terror	NN	terror
tunnel	NN	tunnel
10	CD	@card@
metres	NNS	metre
deep	JJ	deep
underneath	IN	underneath
the	DT	the
Shifa	NP	Shifa
hospital	NN	hospital
complex	NN	complex
,	,	,
"	''	"
which	WDT	which
ran	VBD	run
under	IN	under
the	DT	the
hospital	NN	hospital
and	CC	and
ended	VBN	end
at	IN	at
a	DT	a
blast	NN	blast
door	NN	door
,	,	,
an	DT	an
army	NN	army
statement	NN	statement
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
entrance	NN	entrance
was	VBD	be
uncovered	VBN	uncover
when	WRB	when
a	DT	a
military	JJ	military
bulldozer	NN	bulldozer
knocked	VBD	knock
down	RP	down
the	DT	the
outside	JJ	outside
wall	NN	wall
of	IN	of
the	DT	the
hospital	NN	hospital
complex	NN	complex
and	CC	and
found	VBD	find
a	DT	a
fortified	VBN	fortify
shaft	NN	shaft
with	IN	with
a	DT	a
spiral	NN	spiral
staircase	NN	staircase
